Item,Binomial (Alphabetical),WordA,WordB,Questions,Answer,SentenceType,Target Sentence,PrimeType,Prime,Filename Prime,condition
100,NA,NA,NA,Were the mountains covered in Mist?,y,Filler,"The mountains loomed in the distance, covered in mist and mystery.",NA,"She walked along the shore, collecting seashells in her hands.",placeholder,Filler
101,NA,NA,NA,Did she wander the aisles with her friends?,n,Filler,She spent hours wandering the aisles of the bookstore alone.,NA,The sound of distant thunder warned of a coming storm.,placeholder,Filler
102,NA,NA,NA,Did he feel like someone was watching him?,y,Filler,He couldn't shake the feeling that someone was watching him.,NA,He kept his grandmother's letters in a box under his bed.,placeholder,Filler
103,NA,NA,NA,Was there heavy rain?,n,Filler,"A soft drizzle began to fall, dampening the crowded streets.",NA,"The forest was dense and mysterious, filled with ancient trees.",placeholder,Filler
104,NA,NA,NA,Did she pick wildflowers?,y,Filler,She picked wildflowers and placed them gently in her hair.,NA,She carefully folded the letter and placed it in an envelope.,placeholder,Filler
105,NA,NA,NA,Did the leaves swirl across a busy road?,n,Filler,"The leaves swirled in the breeze, dancing across the empty road.",NA,"The bookstore was quiet, filled with the scent of old paper.",placeholder,Filler
106,NA,NA,NA,Was there chaos around him?,y,Filler,He felt a strange sense of calm despite the chaos around him.,NA,He wrote his ideas on scraps of paper scattered on the desk.,placeholder,Filler
107,NA,NA,NA,Were the books clean?,n,Filler,The old library was filled with dust-covered books and secrets.,NA,She watched as the sun dipped below the distant horizon.,placeholder,Filler
108,NA,NA,NA,Was there laughter coming from the next room?,y,Filler,She could hear faint laughter coming from the next room.,NA,The rain pattered softly on the roof as they sat in silence.,placeholder,Filler
109,NA,NA,NA,Did he toss a pebble into the ocean?,n,Filler,"He tossed a pebble into the lake, watching the ripples spread.",NA,He felt a chill run down his spine as he entered the room.,placeholder,Filler
110,NA,NA,NA,Was there sand between her toes?,y,Filler,She felt the sand between her toes as she walked along the shore.,NA,The fresh scent of pine filled the air as she hiked uphill.,placeholder,Filler
111,NA,NA,NA,Was the room noisy?,n,Filler,The room was silent except for the ticking of an old clock.,NA,She loved the feel of the ocean breeze against her face.,placeholder,Filler
112,NA,NA,NA,Was his jacket faded?,y,Filler,He wore a faded blue jacket that had seen better days.,NA,"A gentle breeze rustled the leaves, filling the silence.",placeholder,Filler
113,NA,NA,NA,Was the letter on her table?,n,Filler,She found an old letter hidden inside the back of a drawer.,NA,"He sipped his coffee slowly, watching people pass by.",placeholder,Filler
114,NA,NA,NA,Was there coffee in the cafe?,y,Filler,The cafe smelled of freshly baked bread and roasted coffee.,NA,"The beach was empty, save for a few scattered seashells.",placeholder,Filler
115,NA,NA,NA,Was the map new?,n,Filler,He traced his fingers along the edges of the ancient map.,NA,She painted flowers in vibrant colors across the canvas.,placeholder,Filler
116,NA,NA,NA,Did listen to the birds singing?,y,Filler,"She paused, listening to the faint sounds of birds singing.",NA,"The city lights sparkled, reflecting off the wet streets.",placeholder,Filler
117,NA,NA,NA,Did the sky turn shades of purple?,n,Filler,The sky turned shades of pink and orange as the sun set.,NA,"He admired the stars, feeling a deep sense of wonder.",placeholder,Filler
118,NA,NA,NA,Did he watch old films?,y,Filler,He spent his evening watching old black-and-white films.,NA,She wore a necklace with a delicate silver pendant.,placeholder,Filler
119,NA,NA,NA,Was the sidewalk well-lit?,n,Filler,"The streetlights flickered, casting shadows on the sidewalk.",NA,"The children ran across the field, laughing and shouting.",placeholder,Filler
120,NA,NA,NA,Did she whisper secrets to the stars?,y,Filler,"She whispered secrets to the stars, her voice barely audible.",NA,"The lake was like glass, perfectly reflecting the sky.",placeholder,Filler
121,NA,NA,NA,Was he stressed out?,n,Filler,He found comfort in the familiar hum of the city at night.,NA,She made a wish on the first star she saw that night.,placeholder,Filler
122,NA,NA,NA,Did the waves crash against the rocks?,y,Filler,The waves crashed against the rocks with a steady rhythm.,NA,He traced his fingers along the ancient stone carvings.,placeholder,Filler
123,NA,NA,NA,Was the sand dry?,n,Filler,She left footprints in the wet sand that soon disappeared.,NA,The soft glow of the candle illuminated her face.,placeholder,Filler
124,NA,NA,NA,Did the scent of pine trees fill the air?,y,Filler,The scent of pine trees filled the air in the quiet forest.,NA,"She watched the river flow gently, lost in thought.",placeholder,Filler
125,NA,NA,NA,Did he know what he wanted to paint?,n,Filler,"He stared at the blank canvas, unsure of what to paint.",NA,The old piano played a haunting melody in the empty hall.,placeholder,Filler
126,NA,NA,NA,Did she keep a journal?,y,Filler,She kept a journal filled with her thoughts and dreams.,NA,"He sat on the rooftop, admiring the city lights below.",placeholder,Filler
