Item,Binomial (Alphabetical),WordA,WordB,Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Filename Prime (alphabetical) ,Filename Prime (nonalphabetical),Filename Prime (unrelated),Questions,Answer
1,arms and legs,arms,legs,Sandra broke her arms and legs because she got into a bike accident.,Sandra broke her legs and arms because she got into a bike accident.,When he gets upset he crosses his arms and legs in a very tense manner.,When he gets upset he crosses his legs and arms in a very tense manner.,"The sun dipped below the horizon, painting the sky in shades of orange and pink.",placeholder,placeholder,placeholder,Did Sandra get into a bike accident?,y
2,arts and crafts,arts,crafts,Lilly enjoys doing arts and crafts to relax when she is stressed.,Lilly enjoys doing crafts and arts to relax when she is stressed.,Arts and crafts are a wonderful way to express creativity through handmade projects.,Crafts and arts are a wonderful way to express creativity through handmade projects.,"She poured herself a steaming cup of coffee, savoring the aroma as it filled the kitchen.",placeholder,placeholder,placeholder,Does Lilly enjoy run when she's stressed?,n
3,arts and sciences,arts,sciences,Jessica couldn't decide between studying arts and sciences at her time in college.,Jessica couldn't decide between studying sciences and arts at her time in  college.,A well-rounded education often includes a balance of arts and sciences.,A well-rounded education often includes a balance of sciences and arts.,"The library was silent, except for the occasional sound of pages turning.",placeholder,placeholder,placeholder,Did Jessica plan on going to college?,y
4,black and white,black,white,Dalmatians found in colors other than black and white are really quite unusual.,Dalmatians found in colors other than white and black are really quite unusual.,"The film is shot entirely in black and white, giving it a timeless quality.","The film is shot entirely in white and black, giving it a timeless quality.","He watched the rain tap against the window, lost in thought.",placeholder,placeholder,placeholder,Do Dalmations usually come in many different colors?,n
5,blood and flesh,blood,flesh,Although Rhonda was not Nick's blood and flesh he considered her family.,Although Rhonda was not Nick's flesh and blood he considered her family.,"The battle left marks of blood and flesh on the ground, a grim reminder of its toll.","The battle left marks of flesh and blood on the ground, a grim reminder of its toll.","With a deep breath, she stepped onto the stage, her heart pounding in her chest.",placeholder,placeholder,placeholder,Did Nick consider Rhonda to be family?,y
6,boys and girls,boys,girls,The teacher separated the boys and girls into two small groups.,The teacher separated the girls and boys into two small groups.,Boys and girls eagerly gathered around the storyteller for an afternoon of tales.,Girls and boys eagerly gathered around the storyteller for an afternoon of tales.,"The mountain trail was steep, but the view from the top made every step worth it.",placeholder,placeholder,placeholder,Did the teacher separate the students into many groups?,n
7,brother and sister,brother,sister,Paul wants to spend time with his brother and sister because they are cool.,Paul wants to spend time with his sister and brother because they are cool.,The brother and sister shared a bond that no distance could weaken.,The sister and brother shared a bond that no distance could weaken.,"The cat curled up on the windowsill, basking in a patch of warm sunlight.",placeholder,placeholder,placeholder,Are Paul's siblings cool?,y
8,brothers and sisters,brothers,sisters,"Andrew shared with his brothers and sisters, so he was excited to have a roomate.","Andrew shared with his sisters and brothers, so he was excited to have a roomate.",I always love seeing my brothers and sisters when I go home for the holidays.,I always love seeing my sisters and brothers when I go home for the holidays.,"They exchanged a knowing glance, each understanding the other's unspoken thoughts.",placeholder,placeholder,placeholder,Does Andrew live alone?,n
9,cause and effect,cause,effect,"Ryan was uncertain about the cause and effect of inflation, so he did some research.","Ryan was uncertain about the effect and cause of inflation, so he did some research.",The gathering was filled with laughter from brothers and sisters catching up after a long time apart.,The gathering was filled with laughter from sisters and brothers catching up after a long time apart.,"She carefully wrapped the gift, tying a red ribbon into a perfect bow.",placeholder,placeholder,placeholder,Did Ryan research about inflation?,y
10,days and nights,days,nights,Finn spent many days and nights working on writing his novel.,Finn spent many nights and days working on writing his novel.,The desert's harshness is evident in the extreme days and nights.,The desert's harshness is evident in the extreme nights and days.,The crowded marketplace buzzed with the sounds of bargaining and laughter.,placeholder,placeholder,placeholder,Did Finn easily write his novel?,n
11,death and life,death,life,It is hard to tell the difference between death and life when you are in purgatory.,It is hard to tell the difference between life and death when you are in purgatory.,"In many cultures, death and life are seen as intertwined parts of a greater cycle.","In many cultures, life and death are seen as intertwined parts of a greater cycle.",The child’s laughter echoed through the park as he chased after a butterfly.,placeholder,placeholder,placeholder,Is it hard to tell one's circumstances in purgatory?,y
12,development and research,development,research,Emily was in development and research but eventually decided to leave.,Emily was in research and development but eventually decided to leave.,Many years of development and research went into the company's new product.,Many years of research and development went into the company's new product.,His suitcase was packed with essentials and a few souvenirs from his last adventure.,placeholder,placeholder,placeholder,Did Emily stay in her field?,n
13,diagnosis and treatment,diagnosis,treatment,Marissa found that her diagnosis and treatment at the hospital were different.,Marissa found that her treatment and diagnosis at the hospital were different.,Swift diagnosis and treatment are crucial for managing serious illnesses effectively.,Swift treatment and diagnosis are crucial for managing serious illnesses effectively.,"The old clock in the hallway struck midnight, its chimes filling the quiet house.",placeholder,placeholder,placeholder,Was Marissa sick?,y
14,error and trial,error,trial,Hal solved the math problem by error and trial because he was lazy.,Hal solved the math problem by trial and error because he was lazy.,Sometimes it feels like trial and error is the only way to learn.,Sometimes it feels like error and trial is the only way to learn.,"The aroma of freshly baked bread drifted from the kitchen, inviting everyone inside.",placeholder,placeholder,placeholder,Was Hal still stuck on the math problem?,n
15,fall and rise,fall,rise,I've gotten particularly ill due to the fall and rise of the big waves.,I've gotten particularly ill due to the rise and fall of the big waves.,The documentary charts the fall and rise of a once-beloved artist.,The documentary charts the rise and fall of a once-beloved artist.,"She gazed out at the ocean, mesmerized by the endless waves crashing against the shore.",placeholder,placeholder,placeholder,Was the narrator sick because of the waves?,y
